"cn","plotclass"
148444751010478,2
148445048010478,3
148445376010478,1
148445490010478,1
148445564010478,2
148445657010478,1
148445745010478,2
148446425010478,3
148446474010478,3
148446658010478,2
148446830010478,2
148448983010478,2
148449200010478,2
148449323010478,1
148449515010478,3
148449659010478,1
148450047010478,2
148450398010478,3
148452985010478,1
148453075010478,3
148453359010478,2
148453426010478,3
148459477010478,3
175742964010854,2
175742966010854,3
175742967010854,3
175742969010854,2
175742970010854,2
175742971010854,2
175742972010854,2
175742973010854,3
175742974010854,3
175742975010854,3
148458479010478,3
148458699010478,3
148459049010478,2
148460887010478,1
148461128010478,1
148461233010478,1
148461459010478,3
148461679010478,2
148461909010478,2
148462067010478,2
148462471010478,1
148462524010478,2
148462807010478,2
148463012010478,3
148463211010478,2
139994360010854,3
139994361010854,2
148460329010478,3
148460383010478,1
148460705010478,3
148460824010478,1
148463567010478,2
148465659010478,1
148465831010478,3
148465955010478,1
148466043010478,3
106334190010478,1
148464301010478,2
148464395010478,1
148464491010478,3
148464613010478,1
148464938010478,1
148465049010478,1
148465195010478,1
148485091010478,1
148486083010478,2
148488840010478,3
148488929010478,2
148489026010478,2
148489292010478,1
148490738010478,2
148493783010478,1
148503186010478,2
148503953010478,3
148505174010478,3
148466731010478,3
148467169010478,2
148467978010478,3
148470404010478,3
148471339010478,1
148477599010478,3
148480799010478,2
148486801010478,3
148487301010478,3
148487405010478,1
148488586010478,1
148489712010478,3
148489890010478,2
148490020010478,2
148490205010478,3
148490333010478,3
139994861010854,3
139994907010854,3
148503634010478,3
106322912010478,2
81637033010478,3
81637086010478,1
81637332010478,1
81637539010478,2
81637618010478,1
81638135010478,3
81638264010478,3
81638364010478,3
81638425010478,1
81638585010478,2
81616681010478,3
39026124010478,1
81630499010478,2
81631224010478,2
81631638010478,3
81642838010478,2
81645121010478,3
81645187010478,1
81647009010478,1
81647262010478,2
81648258010478,2
81652205010478,3
81652266010478,1
175742200010854,1
175742820010854,2
81638802010478,2
81639173010478,2
81639628010478,3
81639679010478,3
81640008010478,3
81640310010478,2
81642653010478,1
81642769010478,3
81643076010478,1
81643216010478,1
81643263010478,1
81643491010478,2
81643572010478,3
81643757010478,3
81643892010478,3
81643980010478,2
81644136010478,2
175743006010854,1
175743008010854,3
106295739010478,1
81601942010478,3
148459890010478,1
148459965010478,2
148460249010478,1
148489788010478,2
148490537010478,1
148491018010478,3
148492133010478,2
148492614010478,2
148493353010478,3
148494119010478,1
148504652010478,1
148504970010478,2
148509114010478,3
148512624010478,2
148512742010478,1
148514866010478,1
148516142010478,2
148516233010478,2
148516856010478,3
81603423010478,3
81603795010478,3
81608795010478,2
81614560010478,2
81616329010478,3
81617572010478,2
139994263010854,2
139994264010854,3
139994268010854,2
139994269010854,3
139994275010854,3
139994288010854,1
139994289010854,2
139994290010854,3
139994291010854,2
139994292010854,2
139994294010854,1
139994297010854,3
139994298010854,2
139994319010854,1
139994325010854,2
139994326010854,3
139994328010854,2
139994334010854,2
139994335010854,2
139994336010854,3
139994339010854,2
139994355010854,2
139994356010854,1
139994357010854,1
139994358010854,3
139994359010854,1
148493688010478,2
81607420010478,3
81608054010478,3
81609867010478,3
81610308010478,1
81610870010478,3
81611156010478,2
81613043010478,2
81624342010478,3
81625988010478,3
81630086010478,2
81607751010478,3
81626936010478,3
148490406010478,1
175742837010854,3
139994362010854,1
139994363010854,1
139994373010854,2
139994374010854,2
139994375010854,1
139994378010854,1
139994379010854,1
139994381010854,3
139994383010854,2
139994386010854,3
139994387010854,2
139994388010854,2
139994390010854,1
81652358010478,3
81652960010478,2
81653214010478,1
81659310010478,1
81659486010478,1
81660373010478,2
81660629010478,2
81662582010478,1
81662681010478,1
81662796010478,1
81663479010478,1
81664956010478,3
81665822010478,3
81666072010478,1
81668236010478,1
81669592010478,1
81670150010478,2
106318028010478,1
106268831010478,1
106277586010478,3
175742976010854,2
175742977010854,3
175742978010854,2
175742979010854,1
175742980010854,2
175742981010854,2
175742982010854,3
175742983010854,1
175742985010854,1
175742986010854,1
175742988010854,1
175742989010854,1
175742990010854,2
175742991010854,2
175742992010854,1
175742995010854,1
175742996010854,2
175742997010854,2
175742998010854,3
175742999010854,2
175743002010854,2
148439385010478,3
148439543010478,1
148443912010478,2
148444001010478,1
148444187010478,2
148444261010478,1
175743003010854,1
175743004010854,2
106313182010478,3
148434543010478,3
81630131010478,1
139995000010854,1
106265161010478,3
139995009010854,2
139995010010854,3
22302095010478,1
38861866010478,3
22343105010478,2
139995018010854,3
106333858010478,3
38920422010478,2
22332848010478,1
175742226010854,3
175742227010854,2
38921598010478,3
148458117010478,1
175742230010854,3
175742241010854,2
175742460010854,3
106333769010478,3
106335600010478,3
175742244010854,1
38923636010478,1
148439228010478,2
148439653010478,1
22305061010478,2
81646442010478,2
22330442010478,1
106319077010478,3
106319151010478,1
175742186010854,3
106319436010478,1
148440524010478,3
22306387010478,3
38898995010478,3
106333100010478,1
81647190010478,1
106319562010478,3
139994382010854,2
22303858010478,3
139994699010854,1
106277878010478,3
175742181010854,2
81604635010478,3
139994711010854,1
38881905010478,1
38882087010478,3
148494767010478,2
38882778010478,2
139994714010854,1
148495703010478,2
175742674010854,2
22346269010478,3
81605769010478,3
175742680010854,3
175742683010854,3
22346337010478,1
139994736010854,3
81606684010478,1
175742144010854,2
38887346010478,1
81607329010478,3
148497012010478,3
81600297010478,2
175742594010854,1
139994651010854,3
38870820010478,3
139994660010854,3
38875295010478,3
139995019010854,2
81632311010478,1
175742159010854,3
106266920010478,1
148436854010478,1
22346454010478,1
175742707010854,2
139994761010854,2
148434102010478,2
81629521010478,2
106312857010478,2
139994993010854,3
139995001010854,2
148434981010478,2
38860247010478,3
22343041010478,3
38860881010478,3
106265902010478,2
22343062010478,3
148435776010478,2
38862231010478,3
81631963010478,1
148436645010478,2
139995023010854,2
148436736010478,2
22343181010478,2
81632625010478,1
148436997010478,2
81632739010478,1
38863995010478,1
148437074010478,1
38864479010478,1
139994751010854,1
22346476010478,2
148498125010478,1
22346527010478,3
38890897010478,3
106293582010478,3
148498602010478,3
139994772010854,1
106294499010478,2
38894456010478,2
81609229010478,2
139994782010854,2
38895061010478,3
106295394010478,3
38895267010478,3
139994788010854,2
139994792010854,1
148500135010478,2
148500339010478,2
148500419010478,1
139994796010854,3
38897323010478,1
81610595010478,1
22348343010478,1
22342215010478,1
106331043010478,3
106304809010478,2
38933575010478,2
139994347010854,3
139994352010854,2
139994353010854,3
148500791010478,1
139994808010854,3
106307120010478,3
81625224010478,2
22348579010478,3
139994941010854,2
38848176010478,1
38848587010478,1
38849292010478,3
81626131010478,3
139994957010854,2
175742928010854,3
106309445010478,1
38911454010478,1
106300931010478,2
106299739010478,1
175742682010854,3
148503377010478,2
38841953010478,1
175742883010854,2
175742896010854,2
175742421010854,3
22346670010478,1
38893486010478,1
106294981010478,2
81609411010478,2
22346813010478,1
38896631010478,3
148510027010478,1
106305111010478,3
38841475010478,2
22342220010478,3
22342230010478,1
81620783010478,3
22301306010478,3
22301325010478,1
38843803010478,1
139994273010854,3
106310722010478,2
38939482010478,3
139994929010854,2
139994933010854,3
106287728010478,3
106297455010478,3
22300394010478,1
106339841010478,3
139994595010854,2
38956627010478,3
106340704010478,2
106341027010478,1
148484868010478,2
38846546010478,3
175742909010854,2
81625300010478,1
148513083010478,2
148513173010478,2
139994946010854,2
22342504010478,3
148513753010478,3
175742925010854,3
22342543010478,1
106308702010478,1
81626390010478,3
148514086010478,3
175742930010854,3
38851696010478,3
148514273010478,3
38871611010478,3
106332168010478,2
175742292010854,1
81645353010478,3
22350191010478,1
175742299010854,1
106335119010478,3
175742235010854,1
139994295010854,3
81640691010478,3
81640820010478,3
175742164010854,1
81634292010478,3
38918033010478,3
148455612010478,3
175742198010854,1
148455928010478,3
175742201010854,2
139994267010854,3
38919494010478,1
106332687010478,2
148456599010478,1
22349474010478,3
106333595010478,3
139994272010854,2
22303101010478,1
106342503010478,3
38960483010478,1
22343637010478,1
38865210010478,3
22332573010478,2
22332578010478,1
139994647010854,3
38868333010478,1
38851816010478,1
139994969010854,1
22348816010478,2
38853760010478,3
139994978010854,3
148511735010478,3
139994923010854,3
139994925010854,3
38844354010478,1
175742894010854,3
38845576010478,1
22342381010478,1
38846081010478,3
139994873010854,2
22347388010478,2
106299928010478,1
38910676010478,3
175742815010854,2
22300766010478,1
22303870010478,2
81603987010478,1
175742648010854,2
81604143010478,3
175742143010854,1
175742658010854,2
148494853010478,2
106285287010478,3
148495609010478,2
106285976010478,3
139994733010854,2
22336916010478,3
148496209010478,2
81606810010478,2
106286710010478,3
148496954010478,3
148497142010478,3
175742588010854,1
38869190010478,1
38869982010478,3
81600563010478,3
81601112010478,1
81601623010478,3
38874687010478,1
148491662010478,2
38875521010478,3
175742630010854,3
22345850010478,1
139994685010854,2
148492459010478,3
106276528010478,3
139994687010854,1
29101765010478,1
81642277010478,3
148506305010478,2
175742839010854,3
81617217010478,2
148506752010478,2
81617282010478,2
175742849010854,3
81618164010478,3
148507987010478,3
81618941010478,2
